Observation,Time,Polarization Angle,Wavelength
processed/N1466583494._RC.cub,"2004-174T07:52:56.322
",IR 0,889
processed/N1463974488._RC.cub,"2004-144T03:09:15.259
",IR 0,938
processed/N1532137088._RC.cub,"2006-202T01:06:37.908
",IR 0,750
processed/N1521213664._RC.cub,"2006-075T14:49:21.525
",0,343
processed/N1463974336._RC.cub,"2004-144T03:07:37.257
",IR 0,938
processed/N1466583346._RC.cub,"2004-174T07:50:14.315
",IR 0,727
processed/N1521213824._RC.cub,"2006-075T14:52:55.532
",0,441
processed/N1532147562._RC.cub,"2006-202T03:59:49.829
",IR 0,938
processed/N1463974536._RC.cub,"2004-144T03:11:31.267
",IR 0,928
processed/N1466583388._RC.cub,"2004-174T07:52:00.319
",IR 0,750
processed/N1532147747._RC.cub,"2006-202T04:02:54.828
",IR 0,938
processed/N1463975128._RC.cub,"2004-144T03:21:17.306
",IR 0,750
processed/N1521213912._RC.cub,"2006-075T14:54:23.531
",60,441
processed/N1466583698._RC.cub,"2004-174T07:56:42.332
",IR 0,938
processed/N1463983248._RC.cub,"2004-144T05:36:23.195
",IR 0,938
processed/N1466583624._RC.cub,"2004-174T07:54:34.325
",IR 0,938
processed/N1532147932._RC.cub,"2006-202T04:05:59.827
",IR 0,938
processed/N1463983336._RC.cub,"2004-144T05:37:37.198
",IR 0,938
processed/N1466583806._RC.cub,"2004-174T07:59:04.335
",IR 0,619
processed/N1463983488._RC.cub,"2004-144T05:39:15.201
",IR 0,938
processed/N1521214000._RC.cub,"2006-075T14:55:51.531
",120,441
processed/N1532148295._RC.cub,"2006-202T04:12:02.840
",IR 0,889
processed/N1466583772._RC.cub,"2004-174T07:57:56.332
",IR 0,938
processed/N1463983536._RC.cub,"2004-144T05:41:31.208
",IR 0,928
processed/N1467436787._RC.cub,"2004-184T04:55:16.710
",IR 0,928
processed/N1521214033._RC.cub,"2006-075T14:57:09.034
",120,569
processed/N1463984128._RC.cub,"2004-144T05:51:17.247
",IR 0,750
processed/N1532148586._RC.cub,"2006-202T04:17:37.830
",IR 0,727
processed/N1466583848._RC.cub,"2004-174T07:59:40.339
",IR 0,928
processed/N1464076728._RC.cub,"2004-145T07:34:22.586
",IR 0,938
processed/N1521214066._RC.cub,"2006-075T14:57:42.034
",60,569
processed/N1532148869._RC.cub,"2006-202T04:22:20.821
",IR 0,619
processed/N1467437079._RC.cub,"2004-184T05:00:05.696
",IR 0,928
processed/N1464076816._RC.cub,"2004-145T07:35:36.589
",IR 0,938
processed/N1532149015._RC.cub,"2006-202T04:25:24.832
",IR 0,750
processed/N1464076968._RC.cub,"2004-145T07:37:14.592
",IR 0,938
processed/N1466583867._RC.cub,"2004-174T08:00:15.839
",IR 0,750
processed/N1532159489._RC.cub,"2006-202T07:18:36.753
",IR 0,938
processed/N1464077016._RC.cub,"2004-145T07:39:30.600
",IR 0,928
processed/N1521214099._RC.cub,"2006-075T14:58:14.734
",0,569
processed/N1467437394._RC.cub,"2004-184T05:05:20.694
",IR 0,928
processed/N1464077608._RC.cub,"2004-145T07:49:16.639
",IR 0,750
processed/N1532159674._RC.cub,"2006-202T07:21:41.752
",IR 0,938
processed/N1464085729._RC.cub,"2004-145T10:04:23.527
",IR 0,938
processed/N1532159859._RC.cub,"2006-202T07:24:46.751
",IR 0,938
processed/N1464085817._RC.cub,"2004-145T10:05:37.531
",IR 0,938
processed/N1521214147._RC.cub,"2006-075T14:58:56.338
",0,619
processed/N1466583886._RC.cub,"2004-174T08:00:34.339
",IR 0,750
processed/N1532160222._RC.cub,"2006-202T07:30:49.764
",IR 0,889
processed/N1464085969._RC.cub,"2004-145T10:07:15.533
",IR 0,938
processed/N1467437726._RC.cub,"2004-184T05:10:48.684
",IR 0,928
processed/N1537507835._RC.cub,"2006-264T04:57:52.610
",120,343
processed/N1464086017._RC.cub,"2004-145T10:09:31.541
",IR 0,928
processed/N1521214195._RC.cub,"2006-075T14:59:45.737
",60,619
processed/N1464086609._RC.cub,"2004-145T10:19:17.580
",IR 0,750
processed/N1537507944._RC.cub,"2006-264T04:59:41.609
",60,343
processed/N1493967424._RC.cub,"2005-125T06:29:24.546
",IR 0,938
processed/N1464094729._RC.cub,"2004-145T12:34:23.469
",IR 0,938
processed/N1521214497._RC.cub,"2006-075T15:03:58.551
",0,619
processed/N1464094969._RC.cub,"2004-145T12:37:15.475
",IR 0,938
processed/N1521214601._RC.cub,"2006-075T15:05:42.550
",60,619
processed/N1464095609._RC.cub,"2004-145T12:49:17.521
",IR 0,750
processed/N1537508053._RC.cub,"2006-264T05:01:04.609
",0,343
processed/N1494006637._RC.cub,"2005-125T17:22:57.307
",120,343
processed/N1464103579._RC.cub,"2004-145T15:01:53.411
",IR 0,938
processed/N1521214705._RC.cub,"2006-075T15:07:26.550
",120,619
processed/N1537508162._RC.cub,"2006-264T05:03:19.608
",0,441
processed/N1464103667._RC.cub,"2004-145T15:03:07.414
",IR 0,938
processed/N1521214243._RC.cub,"2006-075T15:00:33.737
",120,619
processed/N1464103819._RC.cub,"2004-145T15:04:45.417
",IR 0,938
processed/N1464103867._RC.cub,"2004-145T15:07:01.425
",IR 0,928
processed/N1494007112._RC.cub,"2005-125T17:31:23.119
",0,569
processed/N1537508223._RC.cub,"2006-264T05:04:44.627
",60,441
processed/N1464146629._RC.cub,"2004-146T02:59:23.131
",IR 0,938
processed/N1494007160._RC.cub,"2005-125T17:32:06.723
",0,619
processed/N1464146717._RC.cub,"2004-146T03:00:37.134
",IR 0,938
processed/N1521214745._RC.cub,"2006-075T15:08:44.553
",IR 0,750
processed/N1494007200._RC.cub,"2005-125T17:32:48.530
",60,619
processed/N1464146869._RC.cub,"2004-146T03:02:15.137
",IR 0,938
processed/N1537508284._RC.cub,"2006-264T05:05:45.626
",120,441
processed/N1464146917._RC.cub,"2004-146T03:04:31.144
",IR 0,928
processed/N1521214981._RC.cub,"2006-075T15:12:26.556
",IR 0,727
processed/N1537508306._RC.cub,"2006-264T05:06:38.430
",120,569
processed/N1464147509._RC.cub,"2004-146T03:14:17.183
",IR 0,750
processed/N1494007240._RC.cub,"2005-125T17:33:28.530
",120,619
processed/N1464155629._RC.cub,"2004-146T05:29:23.072
",IR 0,938
processed/N1494007370._RC.cub,"2005-125T17:35:34.090
",IR 0,750
processed/N1464155717._RC.cub,"2004-146T05:30:37.075
",IR 0,938
processed/N1496745450._RC.cub,"2005-157T10:08:04.818
",IR 0,938
processed/N1464155869._RC.cub,"2004-146T05:32:15.078
",IR 0,938
processed/N1521215069._RC.cub,"2006-075T15:13:40.563
",IR 0,938
processed/N1537508328._RC.cub,"2006-264T05:07:00.430
",60,569
processed/N1464155917._RC.cub,"2004-146T05:34:31.086
",IR 0,928
processed/N1521367303._RC.cub,"2006-077T09:29:59.595
",IR 0,938
processed/N1464156509._RC.cub,"2004-146T05:44:17.125
",IR 0,750
processed/N1521367488._RC.cub,"2006-077T09:33:04.594
",IR 0,938
processed/N1464164629._RC.cub,"2004-146T07:59:23.013
",IR 0,938
processed/N1496745688._RC.cub,"2005-157T10:12:02.817
",IR 0,938
processed/N1464164717._RC.cub,"2004-146T08:00:37.017
",IR 0,938
processed/N1521367673._RC.cub,"2006-077T09:36:09.593
",IR 0,938
processed/N1464164869._RC.cub,"2004-146T08:02:15.020
",IR 0,938
processed/N1521367858._RC.cub,"2006-077T09:39:14.592
",IR 0,938
processed/N1537508357._RC.cub,"2006-264T05:07:28.034
",0,569
processed/N1494007616._RC.cub,"2005-125T17:39:26.281
",IR 0,727
processed/N1464164917._RC.cub,"2004-146T08:04:31.027
",IR 0,928
processed/N1521368043._RC.cub,"2006-077T09:42:19.591
",IR 0,938
processed/N1464165509._RC.cub,"2004-146T08:14:17.066
",IR 0,750
processed/N1494007732._RC.cub,"2005-125T17:40:58.288
",IR 0,938
processed/N1464173629._RC.cub,"2004-146T10:29:22.955
",IR 0,938
processed/N1521558372._RC.cub,"2006-079T14:35:55.386
",120,343
processed/N1537508394._RC.cub,"2006-264T05:07:55.637
",0,619
processed/N1464173717._RC.cub,"2004-146T10:30:36.958
",IR 0,938
processed/N1521558404._RC.cub,"2006-079T14:36:27.386
",60,343
processed/N1537508431._RC.cub,"2006-264T05:08:39.037
",60,619
processed/N1464353510._RC.cub,"2004-148T12:26:14.791
",IR 0,938
processed/N1521558444._RC.cub,"2006-079T14:37:04.393
",0,343
processed/N1496745926._RC.cub,"2005-157T10:16:00.815
",IR 0,938
processed/N1465180719._RC.cub,"2004-158T02:13:52.399
",IR 0,938
processed/N1521558500._RC.cub,"2006-079T14:37:43.397
",0,441
processed/N1537508468._RC.cub,"2006-264T05:09:16.037
",120,619
processed/N1465180871._RC.cub,"2004-158T02:15:30.402
",IR 0,938
processed/N1521558556._RC.cub,"2006-079T14:38:39.396
",60,441
processed/N1496746564._RC.cub,"2005-157T10:24:18.823
",IR 0,889
processed/N1465180919._RC.cub,"2004-158T02:17:46.410
",IR 0,928
processed/N1521558612._RC.cub,"2006-079T14:39:35.396
",120,441
processed/N1537508581._RC.cub,"2006-264T05:10:56.605
",IR 0,750
processed/N1465181511._RC.cub,"2004-158T02:27:32.449
",IR 0,750
processed/N1521558629._RC.cub,"2006-079T14:40:22.900
",120,569
processed/N1496747122._RC.cub,"2005-157T10:33:36.820
",IR 0,889
processed/N1537508874._RC.cub,"2006-264T05:15:21.595
",IR 0,727
processed/N1465190456._RC.cub,"2004-158T04:56:23.332
",IR 0,938
processed/N1521558662._RC.cub,"2006-079T14:40:55.900
",60,569
processed/N1465190544._RC.cub,"2004-158T04:57:37.335
",IR 0,938
processed/N1521558702._RC.cub,"2006-079T14:41:34.203
",0,569
processed/N1466053781._RC.cub,"2004-168T04:45:16.768
",IR 0,750
processed/N1496752765._RC.cub,"2005-157T12:09:59.772
",IR 0,938
processed/N1466061901._RC.cub,"2004-168T07:00:22.656
",IR 0,938
processed/N1537509000._RC.cub,"2006-264T05:16:51.602
",IR 0,938
processed/N1521558750._RC.cub,"2006-079T14:42:18.611
",0,619
processed/N1466061989._RC.cub,"2004-168T07:01:36.660
",IR 0,938
processed/N1496753003._RC.cub,"2005-157T12:13:57.770
",IR 0,938
processed/N1545752468._RC.cub,"2006-359T15:07:33.152
",120,343
processed/N1466062141._RC.cub,"2004-168T07:03:14.663
",IR 0,938
processed/N1496753247._RC.cub,"2005-157T12:18:01.761
",IR 0,938
processed/N1466062189._RC.cub,"2004-168T07:05:30.670
",IR 0,928
processed/N1521558798._RC.cub,"2006-079T14:43:06.610
",60,619
processed/N1466062781._RC.cub,"2004-168T07:15:16.709
",IR 0,750
processed/N1545752588._RC.cub,"2006-359T15:09:33.151
",60,343
processed/N1521559166._RC.cub,"2006-079T14:48:35.428
",IR 0,727
processed/N1496753473._RC.cub,"2005-157T12:22:39.771
",IR 0,889
processed/N1466070901._RC.cub,"2004-168T09:30:22.598
",IR 0,938
processed/N1545752708._RC.cub,"2006-359T15:11:33.150
",0,343
processed/N1521558846._RC.cub,"2006-079T14:43:54.610
",120,619
processed/N1466070989._RC.cub,"2004-168T09:31:36.601
",IR 0,938
processed/N1496755585._RC.cub,"2005-157T12:56:59.766
",IR 0,938
processed/N1545752780._RC.cub,"2006-359T15:13:09.157
",0,441
processed/N1521558990._RC.cub,"2006-079T14:46:03.413
",IR 0,750
processed/N1466071141._RC.cub,"2004-168T09:33:14.604
",IR 0,938
processed/N1521559222._RC.cub,"2006-079T14:49:51.427
",IR 0,938
processed/N1545752852._RC.cub,"2006-359T15:14:21.157
",60,441
processed/N1496755823._RC.cub,"2005-157T13:00:57.764
",IR 0,938
processed/N1525327174._RC.cub,"2006-123T05:28:43.375
",120,343
processed/N1466128927._RC.cub,"2004-169T01:37:14.282
",IR 0,889
processed/N1496756061._RC.cub,"2005-157T13:04:55.763
",IR 0,938
processed/N1466071189._RC.cub,"2004-168T09:35:30.611
",IR 0,928
processed/N1545752924._RC.cub,"2006-359T15:15:33.156
",120,441
processed/N1525327232._RC.cub,"2006-123T05:29:41.374
",60,343
processed/N1466071781._RC.cub,"2004-168T09:45:16.651
",IR 0,750
processed/N1496756825._RC.cub,"2005-157T13:15:19.777
",IR 0,889
processed/N1466128839._RC.cub,"2004-169T01:36:14.279
",IR 0,750
processed/N1545752957._RC.cub,"2006-359T15:16:36.960
",120,569
processed/N1525327290._RC.cub,"2006-123T05:30:39.374
",0,343
processed/N1496762791._RC.cub,"2005-157T14:57:05.708
",IR 0,938
processed/N1466129031._RC.cub,"2004-169T01:38:22.286
",IR 0,938
processed/N1545752990._RC.cub,"2006-359T15:17:09.960
",60,569
processed/N1525327366._RC.cub,"2006-123T05:31:59.385
",0,441
processed/N1496763029._RC.cub,"2005-157T15:01:03.706
",IR 0,938
processed/N1466129199._RC.cub,"2004-169T01:42:20.292
",IR 0,928
processed/N1525327408._RC.cub,"2006-123T05:32:44.385
",60,441
processed/N1496763267._RC.cub,"2005-157T15:05:01.705
",IR 0,938
processed/N1466129151._RC.cub,"2004-169T01:40:48.285
",IR 0,619
processed/N1525327450._RC.cub,"2006-123T05:33:26.385
",120,441
processed/N1466129232._RC.cub,"2004-169T01:43:03.796
",IR 0,750
processed/N1545753023._RC.cub,"2006-359T15:17:42.960
",0,569
processed/N1499415609._RC.cub,"2005-188T07:51:48.811
",120,343
processed/N1525327504._RC.cub,"2006-123T05:34:34.832
",120,569
processed/N1466340619._RC.cub,"2004-171T12:25:14.888
",IR 0,889
processed/N1496764031._RC.cub,"2005-157T15:15:25.720
",IR 0,889
processed/N1466129265._RC.cub,"2004-169T01:43:37.100
",IR 0,750
processed/N1525327523._RC.cub,"2006-123T05:34:53.840
",60,569
processed/N1466340499._RC.cub,"2004-171T12:22:30.885
",IR 0,938
processed/N1499415665._RC.cub,"2005-188T07:52:50.818
",60,343
processed/N1545753071._RC.cub,"2006-359T15:18:26.563
",0,619
processed/N1525327542._RC.cub,"2006-123T05:35:12.720
",0,569
processed/N1466340637._RC.cub,"2004-171T12:26:27.096
",IR 0,750
processed/N1499415737._RC.cub,"2005-188T07:53:56.822
",0,343
processed/N1545753119._RC.cub,"2006-359T15:19:14.563
",60,619
processed/N1466583248._RC.cub,"2004-174T07:48:50.308
",0,343
processed/N1499415793._RC.cub,"2005-188T07:55:04.825
",0,441
processed/N1525327587._RC.cub,"2006-123T05:35:54.607
",0,619
processed/N1466583142._RC.cub,"2004-174T07:48:11.484
",0,51
processed/N1545753167._RC.cub,"2006-359T15:20:02.563
",120,619
processed/N1499415833._RC.cub,"2005-188T07:55:55.829
",60,441
processed/N1525327613._RC.cub,"2006-123T05:36:21.207
",60,619
processed/N1571476777._RC.cub,"2007-292T08:44:06.314
",120,619
processed/N1545753313._RC.cub,"2006-359T15:22:16.134
",IR 0,750
processed/N1525327639._RC.cub,"2006-123T05:36:47.207
",120,619
processed/N1499415873._RC.cub,"2005-188T07:56:35.828
",120,441
processed/N1525327746._RC.cub,"2006-123T05:38:31.759
",IR 0,750
processed/N1499415890._RC.cub,"2005-188T07:57:06.036
",120,569
processed/N1571477029._RC.cub,"2007-292T08:47:48.528
",IR 0,750
processed/N1526619725._RC.cub,"2006-138T04:31:13.140
",120,343
processed/N1499415923._RC.cub,"2005-188T07:57:39.336
",60,569
processed/N1545753639._RC.cub,"2006-359T15:27:14.125
",IR 0,727
processed/N1525327918._RC.cub,"2006-123T05:41:14.350
",IR 0,727
processed/N1546026149._RC.cub,"2006-362T19:07:48.394
",IR 0,889
processed/N1499416011._RC.cub,"2005-188T07:59:02.043
",0,619
processed/N1525327990._RC.cub,"2006-123T05:42:09.358
",IR 0,938
processed/N1571477249._RC.cub,"2007-292T08:51:20.526
",IR 0,727
processed/N1545753787._RC.cub,"2006-359T15:29:06.131
",IR 0,938
processed/N1526619757._RC.cub,"2006-138T04:31:48.147
",60,343
processed/N1499415963._RC.cub,"2005-188T07:58:18.240
",0,569
processed/N1571477453._RC.cub,"2007-292T08:54:44.533
",IR 0,889
processed/N1577094085._RC.cub,"2007-357T09:04:26.835
",120,343
processed/N1526619789._RC.cub,"2006-138T04:32:20.147
",0,343
