Time,Intensity,Phase,Polarization Angle,Wavelength
2004-05-23 03:10:05.259000+00:00,0.0015205649,69.868995962873,IR,938
2004-05-23 03:08:00.257000+00:00,0.0018122697,69.869892001529,IR,938
2004-05-23 03:11:37.267000+00:00,0.00020661308,69.868335878586,IR,928
2004-05-23 03:21:26.306000+00:00,0.00030562287,69.864098888833,IR,750
2004-05-23 05:36:39.195000+00:00,0.0018496236,69.803805089151,IR,938
2004-05-23 05:38:00.198000,0.0016198907,69.803185030502,IR,938
2004-05-23 05:40:05.201000+00:00,0.0015181412,69.802227467673,IR,938
2004-05-23 05:41:37.208000+00:00,0.00018990919,69.801522126272,IR,928
2004-05-23 05:51:26.247000+00:00,0.00030809033,69.796995643047,IR,750
2004-05-24 07:34:38.586000+00:00,0.001744321,68.87790408333,IR,938
2004-05-24 07:35:59.589000+00:00,0.0016689531,68.876943053427,IR,938
2004-05-24 07:38:04.592000+00:00,0.0023088271,68.875459549726,IR,938
2004-05-24 07:39:36.600000+00:00,0.00015434435,68.874367271874,IR,928
2004-05-24 07:49:25.639000+00:00,0.00035205341,68.867367436554,IR,750
2004-05-24 10:04:39.527000+00:00,0.0014635557,68.769732921267,IR,938
2004-05-24 10:06:00.531000+00:00,0.0016020081,68.768747017779,IR,938
2004-05-24 10:08:05.533000+00:00,0.0013250773,68.767225187075,IR,938
2004-05-24 10:09:37.541000+00:00,0.00019604011,68.766104710522,IR,928
2004-05-24 10:19:26.580000,0.00039922286,68.758924762224,IR,750
2004-05-24 12:34:39.469000+00:00,0.002931976,68.658895309941,IR,938
2004-05-24 12:38:05.475000+00:00,0.0031538727,68.656328256318,IR,938
2004-05-24 12:49:26.521000+00:00,0.00054205925,68.647832372438,IR,750
2005-05-05 17:23:13.307000+00:00,5.3309541e-05,136.7279519927,120,343
2004-05-24 15:02:09.411000+00:00,0.0020013114,68.547458542093,IR,938
2004-05-24 15:03:30.414000+00:00,0.0018046937,68.546427874686,IR,938
2004-05-24 15:05:35.417000+00:00,0.0013203232,68.544836987897,IR,938
2004-05-24 15:07:07.425000+00:00,0.00015919426,68.543665733771,IR,928
2005-05-05 17:31:23.719000+00:00,0.0001324055,136.61389620019,0,569
2004-05-25 02:59:39.131000+00:00,0.0022277043,67.976208647123,IR,938
2005-05-05 17:32:09.523000+00:00,0.00013213239,136.60325972786,0,619
2004-05-25 03:01:00.134000+00:00,0.002270584,67.975095512314,IR,938
2005-05-05 17:32:50.430000+00:00,0.00020544083,136.59376276256,60,619
2004-05-25 03:03:05.137000+00:00,0.0021046295,67.973377497708,IR,938
2004-05-25 03:04:37.144000+00:00,0.0004858126,67.972112790075,IR,928
2004-05-25 03:14:26.183000+00:00,0.0014833023,67.964012327873,IR,750
2005-05-05 17:33:30.430000+00:00,0.00027255167,136.58447850037,120,619
2004-05-25 05:29:39.072000+00:00,0.028384019,67.851824796941,IR,938
2005-05-05 17:35:38.190000+00:00,0.00017513541,136.5548386924,IR,750
2004-05-25 05:31:00.075000+00:00,0.024820026,67.850699083253,IR,938
2004-05-25 05:33:05.078000+00:00,0.030883063,67.848961685835,IR,938
2004-05-25 05:34:37.086000+00:00,0.0059144925,67.847682720128,IR,928
2004-05-25 05:44:26.125000+00:00,0.007613576,67.839491513676,IR,750
2004-05-25 07:59:39.013000,0.012182132,67.726133215403,IR,938
2004-05-25 08:01:00.017000+00:00,0.02989001,67.724996542227,IR,938
2004-05-25 08:03:05.020000+00:00,0.013294989,67.723242282802,IR,938
2005-05-05 17:39:37.281000+00:00,0.00026166462,136.49942828051,IR,727
2004-05-25 08:04:37.027000+00:00,0.00099820236,67.721950942326,IR,928
2004-05-25 08:14:26.066000+00:00,0.031443678,67.71368087266,IR,750
2005-05-05 17:41:21.288000+00:00,0.00011075227,136.4753476534,IR,938
2004-05-25 10:29:38.955000+00:00,0.014275564,67.599315724223,IR,938
