PDS_VERSION_ID         = PDS3
RECORD_TYPE            = STREAM
OBJECT                 = TEXT
  PUBLICATION_DATE     = 2004-12-07
  INTERCHANGE_FORMAT   = ASCII
  NOTE                 = "A sorted list of NAC focal lengths.  Columns are:
                         filter 1, filter 2, focal length (mm), error (mm)."
END_OBJECT             = TEXT
END
   
\begindata
P120    BL2      2002.55    0.0500000
P60     BL2      2002.61     0.114000
P0      BL2      2002.68     0.185000
P60     CB1      2002.77    0.0390000
P120    CB1      2002.86    0.0460000
P60     GRN      2002.87    0.0290000
P0      CB1      2002.88    0.0220000
P0      IR1      2002.93    0.0290000
P60     MT1      2002.93    0.0680000
P60     IR1      2002.94    0.0710000
P120    IR1      2002.95     0.107000
P0      GRN      2002.96    0.0400000
P120    GRN      2002.96    0.0570000
CL1     BL2      2002.96    0.0740000
P0      MT1      2002.99    0.0660000
RED     IR1      2003.06    0.0260000
IRP0    IR3      2003.06    0.0410000
IRP0    CB2      2003.07    0.0380000
P60     UV3      2003.10    0.0570000
P120    MT1      2003.12    0.0390000
IR2     IR3      2003.13    0.0610000
IR2     IR1      2003.15    0.0100000
IRP0    IR1      2003.18    0.0450000
RED     GRN      2003.19    0.0450000
CL1     CB1      2003.24    0.0700000
CL1     CB2      2003.25    0.0690000
CL1     CB3      2003.27    0.0470000
IR2     CL2      2003.29    0.0730000
P120    UV3      2003.29     0.127000
P0      UV3      2003.30    0.0450000
IRP0    MT2      2003.30    0.0520000
CL1     IR1      2003.31    0.0360000
IRP0    MT3      2003.31    0.0660000
IRP0    CB3      2003.32    0.0410000
CL1     IR3      2003.32    0.0900000
RED     CL2      2003.35    0.0780000
IR4     IR3      2003.39    0.0450000
CL1     GRN      2003.39    0.0650000
BL1     CL2      2003.40    0.0370000
CL1     CL2      2003.44    0.0290000
CL1     MT1      2003.46    0.0540000
CL1     MT3      2003.46    0.0560000
IR4     CL2      2003.47    0.0500000
UV2     UV3      2003.47    0.0990000
UV2     CL2      2003.48    0.0830000
CL1     MT2      2003.49    0.0690000
HAL     CL2      2003.51    0.0390000
CL1     UV3      2003.67    0.0220000
UV1     CL2      2003.77    0.0570000
